,Place2,attestations,ration
205,Laodicea in Media (Nahavand/Nehavend),1,33.33
206,"Dura-Europos (Salhiyé, nr.)",1,0.11
207,Amisos,1,1.64
208,Amasia,1,1.49
209,Kerch Peninsula,1,14.29
210,Tyritake,1,3.33
211,"Kaisareia, Hadrianopolis",1,0.97
212,Amastris (Amasra),1,1.28
213,"Klaudioupolis (Bolu), Plain of",1,0.55
214,Talmis (Kalabsha),1,0.55
215,Pachoras--Phthouris (Faras),1,0.76
216,Philai Isl.,1,2.44
217,Thebes (Luxor),1,0.43
218,Arsinoe (Medinet el-Faiyūm),1,0.89
219,Hibis (El Hibe),1,16.67
220,Tanis (San),1,50.00
221,Naukratis,1,0.09
222,Hermoupolis Parva,1,16.67
223,Tremithous (Tremetousia),1,7.69
224,Ledra/Ledroi (Nicosia),1,20.00
225,Tyros,1,2.17
226,Skythopolis (Beth Shean),1,1.16
227,Samaria--Sebaste,1,3.57
228,"Nazareth? [Paris, Bibl. Nat.]",1,50.00
229,Nemroud Dagh,1,2.70
230,Hierapolis Kast. (Bodrum Kalesi),1,2.00
231,Daphne,1,1.79
232,MonAnt,1,5.88
233,Aigeai,1,3.57
234,Tarsos,1,2.70
235,Pompeioupolis (Viranşehir),1,3.57
236,Magarsos (Karataş),1,3.85
237,Laertes (Cebelireş),1,4.76
238,Tyriaion,1,1.92
239,"Trysa (Gölbaşi, nr.)",1,11.11
240,Myra (Kocademre): Sura,1,14.29
241,Simena (Kale--Kekova),1,7.14
242,"Verben (Yelten) &amp; Sibidunda (Zivint), betw.",1,6.67
243,Sebastopolis,1,7.14
244,Sagalassos (Ağlasun),1,0.67
245,Myra (Kocademre): Muskar,1,50.00
246,"Prostanna, nr. Eǧirdir",1,33.33
247,Phaselis,1,2.56
248,Verben? (Yelten),1,9.09
249,Nisa,1,6.67
250,Komba,1,4.00
251,Kidrama,1,10.00
252,Kandyba,1,20.00
253,Kalabatia,1,14.29
254,Etenna (Sirtköy),1,6.67
255,Kremna (Çamlık-Girme)? [Burdur Mus.],1,1.16
256,Komama (Serefönü),1,7.69
257,Arymaxa,1,33.33
258,Arsada,1,5.56
259,Apollonia Salbake,1,5.00
260,Aperlai,1,25.00
261,Andeda (Yeşilkaya),1,7.69
262,Amblada,1,2.94
263,Adada,1,2.70
264,Tymandos (Mandos Kiri): Yatzu Veran,1,1.79
265,Sebaste (Selçikler): Sivasli,1,2.78
266,Kollyda,1,0.91
267,Kastolou Pedion,1,7.69
268,Dorylaion (Eskişehir),1,0.42
269,Appia,1,0.51
270,Thyssanous (Ortaca),1,4.00
271,Theangela,1,5.56
272,Telos,1,0.88
273,Paros,1,0.23
274,Paros,1,0.83
275,Nysa,1,1.30
276,Keramos,1,1.18
277,Delos,1,2.04
278,Asklepieion,1,0.28
